Location,Day,Sale Hour,Sales
489,2/2/21,0,12.0
489,2/2/21,1,5.0
489,2/2/21,2,0.0
489,2/2/21,3,0.0
489,2/2/21,4,0.0
489,2/2/21,5,12.0
489,2/2/21,6,3790.0
489,2/2/21,7,5639.0
489,2/2/21,8,6649.0
489,2/2/21,9,16379.0
489,2/2/21,10,14160.0
489,2/2/21,11,19960.0
489,2/2/21,12,17033.0
489,2/2/21,13,16998.0
489,2/2/21,14,19647.0
489,2/2/21,15,30423.0
489,2/2/21,16,23431.0
489,2/2/21,17,4707.0
489,2/2/21,18,6002.0
489,2/2/21,19,4169.0
489,2/2/21,20,2560.0
489,2/2/21,21,75.0
489,2/2/21,22,25.0
489,2/2/21,23,0.0
489,2/3/21,0,3.0
489,2/3/21,1,0.0
489,2/3/21,2,0.0
489,2/3/21,3,0.0
489,2/3/21,4,15.0
489,2/3/21,5,0.0
489,2/3/21,6,1718.0
489,2/3/21,7,5101.0
489,2/3/21,8,15245.0
489,2/3/21,9,7612.0
489,2/3/21,10,16110.0
489,2/3/21,11,18244.0
489,2/3/21,12,15066.0
489,2/3/21,13,2768.0
489,2/3/21,14,10565.0
489,2/3/21,15,7344.0
489,2/3/21,16,17524.0
489,2/3/21,17,17724.0
489,2/3/21,18,11390.0
489,2/3/21,19,480.0
489,2/3/21,20,3407.0
489,2/3/21,21,12.0
489,2/3/21,22,0.0
489,2/3/21,23,18.0
489,2/4/21,0,750.0
489,2/4/21,1,120.0
489,2/4/21,2,0.0
489,2/4/21,3,20.0
489,2/4/21,4,0.0
489,2/4/21,5,0.0
489,2/4/21,6,1575.0
489,2/4/21,7,11768.0
489,2/4/21,8,9385.0
489,2/4/21,9,27691.0
489,2/4/21,10,11193.0
489,2/4/21,11,11594.0
489,2/4/21,12,9846.0
489,2/4/21,13,23267.0
489,2/4/21,14,13526.0
489,2/4/21,15,12688.0
489,2/4/21,16,11657.0
489,2/4/21,17,9348.0
489,2/4/21,18,4262.0
489,2/4/21,19,3893.0
489,2/4/21,20,2193.0
489,2/4/21,21,73.0
489,2/4/21,22,0.0
489,2/4/21,23,0.0
489,2/5/21,0,13.0
489,2/5/21,1,0.0
489,2/5/21,2,0.0
489,2/5/21,3,22.0
489,2/5/21,4,0.0
489,2/5/21,5,0.0
489,2/5/21,6,8909.0
489,2/5/21,7,5867.0
489,2/5/21,8,5892.0
489,2/5/21,9,10598.0
489,2/5/21,10,15053.0
489,2/5/21,11,19357.0
489,2/5/21,12,13605.0
489,2/5/21,13,14129.0
489,2/5/21,14,22284.0
489,2/5/21,15,53607.0
489,2/5/21,16,58679.0
489,2/5/21,17,18489.0
489,2/5/21,18,34307.0
489,2/5/21,19,7545.0
489,2/5/21,20,4974.0
489,2/5/21,21,60.0
489,2/5/21,22,19.0
489,2/5/21,23,0.0
489,2/6/21,0,2.0
489,2/6/21,1,3.0
489,2/6/21,2,0.0
489,2/6/21,3,0.0
489,2/6/21,4,0.0
489,2/6/21,5,0.0
489,2/6/21,6,2538.0
489,2/6/21,7,2799.0
489,2/6/21,8,7681.0
489,2/6/21,9,11958.0
489,2/6/21,10,23743.0
489,2/6/21,11,25508.0
489,2/6/21,12,38484.0
489,2/6/21,13,28309.0
489,2/6/21,14,21571.0
489,2/6/21,15,16628.0
489,2/6/21,16,20017.0
489,2/6/21,17,9694.0
489,2/6/21,18,6778.0
489,2/6/21,19,3654.0
489,2/6/21,20,2663.0
489,2/6/21,21,3.0
489,2/6/21,22,0.0
489,2/6/21,23,44.0
489,2/7/21,0,0.0
489,2/7/21,1,0.0
489,2/7/21,2,0.0
489,2/7/21,3,0.0
489,2/7/21,4,28.0
489,2/7/21,5,4.0
489,2/7/21,6,0.0
489,2/7/21,7,839.0
489,2/7/21,8,2803.0
489,2/7/21,9,7633.0
489,2/7/21,10,7878.0
489,2/7/21,11,13599.0
489,2/7/21,12,13232.0
489,2/7/21,13,25148.0
489,2/7/21,14,19318.0
489,2/7/21,15,20063.0
489,2/7/21,16,12658.0
489,2/7/21,17,13503.0
489,2/7/21,18,1681.0
489,2/7/21,19,2180.0
489,2/7/21,20,13.0
489,2/7/21,21,19.0
489,2/7/21,22,0.0
489,2/7/21,23,0.0
489,2/8/21,0,0.0
489,2/8/21,1,0.0
489,2/8/21,2,0.0
489,2/8/21,3,0.0
489,2/8/21,4,0.0
489,2/8/21,5,0.0
489,2/8/21,6,1031.0
489,2/8/21,7,13238.0
489,2/8/21,8,2435.0
489,2/8/21,9,7237.0
489,2/8/21,10,18459.0
489,2/8/21,11,18346.0
489,2/8/21,12,18975.0
489,2/8/21,13,10936.0
489,2/8/21,14,11828.0
489,2/8/21,15,11729.0
489,2/8/21,16,11295.0
489,2/8/21,17,8128.0
489,2/8/21,18,5963.0
489,2/8/21,19,1482.0
489,2/8/21,20,3709.0
489,2/8/21,21,151.0
489,2/8/21,22,171.0
489,2/8/21,23,0.0
489,2/9/21,0,0.0
489,2/9/21,1,3.0
489,2/9/21,2,0.0
489,2/9/21,3,0.0
489,2/9/21,4,2.0
489,2/9/21,5,0.0
489,2/9/21,6,5649.0
489,2/9/21,7,7739.0
489,2/9/21,8,9833.0
489,2/9/21,9,16164.0
489,2/9/21,10,16975.0
489,2/9/21,11,14626.0
489,2/9/21,12,8581.0
489,2/9/21,13,10371.0
489,2/9/21,14,21579.0
489,2/9/21,15,8488.0
489,2/9/21,16,18772.0
489,2/9/21,17,8469.0
489,2/9/21,18,4450.0
489,2/9/21,19,6107.0
489,2/9/21,20,4269.0
489,2/9/21,21,50.0
489,2/9/21,22,0.0
489,2/9/21,23,0.0
489,2/10/21,0,0.0
489,2/10/21,1,0.0
489,2/10/21,2,0.0
489,2/10/21,3,0.0
489,2/10/21,4,2.0
489,2/10/21,5,0.0
489,2/10/21,6,5294.0
489,2/10/21,7,5636.0
489,2/10/21,8,10848.0
489,2/10/21,9,15094.0
489,2/10/21,10,24990.0
489,2/10/21,11,21253.0
489,2/10/21,12,16625.0
489,2/10/21,13,20720.0
489,2/10/21,14,18141.0
489,2/10/21,15,22967.0
489,2/10/21,16,5959.0
489,2/10/21,17,19727.0
489,2/10/21,18,21675.0
489,2/10/21,19,8655.0
489,2/10/21,20,943.0
489,2/10/21,21,197.0
489,2/10/21,22,0.0
489,2/10/21,23,0.0
489,2/11/21,0,0.0
489,2/11/21,1,0.0
489,2/11/21,2,0.0
489,2/11/21,3,0.0
489,2/11/21,4,0.0
489,2/11/21,5,40.0
489,2/11/21,6,3675.0
489,2/11/21,7,5325.0
489,2/11/21,8,8421.0
489,2/11/21,9,17681.0
489,2/11/21,10,17441.0
489,2/11/21,11,8560.0
489,2/11/21,12,23154.0
489,2/11/21,13,18204.0
489,2/11/21,14,21081.0
489,2/11/21,15,24101.0
489,2/11/21,16,19037.0
489,2/11/21,17,5562.0
489,2/11/21,18,5736.0
489,2/11/21,19,6247.0
489,2/11/21,20,1518.0
489,2/11/21,21,92.0
489,2/11/21,22,6.0
489,2/11/21,23,0.0
489,2/12/21,0,0.0
489,2/12/21,1,0.0
489,2/12/21,2,0.0
489,2/12/21,3,0.0
489,2/12/21,4,0.0
489,2/12/21,5,134.0
489,2/12/21,6,8098.0
489,2/12/21,7,3719.0
489,2/12/21,8,9450.0
489,2/12/21,9,8469.0
489,2/12/21,10,19644.0
